#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-----------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                     | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+-----------------------------+----------------+---------------+
| 160431:1615 | 03/14/11 03:14:43 | 4    | HLT_QuadJet40_IsoPFTau40_v1 | 0.000090951    | 0.000090951   |
| 160577:1622 | 03/16/11 01:45:02 | 41   | HLT_QuadJet40_IsoPFTau40_v1 | 0.000612545    | 0.000579862   |
| 160578:1622 | 03/16/11 02:20:03 | 134  | HLT_QuadJet40_IsoPFTau40_v1 | 0.001831751    | 0.001738430   |
| 160871:1636 | 03/19/11 02:43:57 | 8    | HLT_QuadJet40_IsoPFTau40_v1 | 0.005630395    | 0.003400197   |
| 160872:1636 | 03/19/11 03:50:05 | 13   | HLT_QuadJet40_IsoPFTau40_v1 | 0.009461996    | 0.005328334   |
| 160873:1636 | 03/19/11 04:20:20 | 18   | HLT_QuadJet40_IsoPFTau40_v1 | 0.012232979    | 0.010993042   |
| 160874:1636 | 03/19/11 05:38:49 | 18   | HLT_QuadJet40_IsoPFTau40_v1 | 0.011474002    | 0.008828364   |
| 160939:1639 | 03/20/11 13:48:42 | 123  | HLT_QuadJet40_IsoPFTau40_v1 | 0.149382483    | 0.146014792   |
| 160940:1639 | 03/20/11 14:46:32 | 79   | HLT_QuadJet40_IsoPFTau40_v1 | 0.092508849    | 0.089100717   |
| 160942:1639 | 03/20/11 15:24:03 | 12   | HLT_QuadJet40_IsoPFTau40_v1 | 0.013715277    | 0.011896619   |
| 160943:1639 | 03/20/11 15:34:29 | 54   | HLT_QuadJet40_IsoPFTau40_v1 | 0.060333082    | 0.058090331   |
| 160955:1640 | 03/20/11 19:51:24 | 197  | HLT_QuadJet40_IsoPFTau40_v1 | 0.669945386    | 0.408448653   |
| 160956:1640 | 03/20/11 21:20:37 | 64   | HLT_QuadJet40_IsoPFTau40_v1 | 0.203050627    | 0.194948509   |
| 160957:1640 | 03/20/11 21:48:46 | 953  | HLT_QuadJet40_IsoPFTau40_v1 | 2.545345208    | 2.445721988   |
| 160998:1642 | 03/21/11 13:23:30 | 251  | HLT_QuadJet40_IsoPFTau40_v1 | 0.676964439    | 0.664146771   |
| 161008:1642 | 03/21/11 15:15:48 | 76   | HLT_QuadJet40_IsoPFTau40_v1 | 0.191964870    | 0.189333161   |
| 161016:1642 | 03/21/11 17:06:50 | 299  | HLT_QuadJet40_IsoPFTau40_v1 | 0.664558375    | 0.653533010   |
| 161103:1644 | 03/22/11 10:17:36 | 99   | HLT_QuadJet40_IsoPFTau40_v1 | 0.389802410    | 0.377584142   |
| 161106:1644 | 03/22/11 11:06:02 | 25   | HLT_QuadJet40_IsoPFTau40_v1 | 0.093336877    | 0.091909304   |
| 161107:1644 | 03/22/11 11:21:50 | 28   | HLT_QuadJet40_IsoPFTau40_v1 | 0.101228212    | 0.099758689   |
| 161113:1644 | 03/22/11 11:37:33 | 23   | HLT_QuadJet40_IsoPFTau40_v1 | 0.080535450    | 0.078696140   |
| 161116:1644 | 03/22/11 11:55:16 | 10   | HLT_QuadJet40_IsoPFTau40_v1 | 0.033975069    | 0.033597417   |
| 161117:1644 | 03/22/11 12:03:28 | 23   | HLT_QuadJet40_IsoPFTau40_v1 | 0.078201410    | 0.076857747   |
| 161119:1644 | 03/22/11 12:20:47 | 181  | HLT_QuadJet40_IsoPFTau40_v1 | 0.576048245    | 0.548310089   |
| 161176:1644 | 03/22/11 15:52:11 | 31   | HLT_QuadJet40_IsoPFTau40_v1 | 0.085206168    | 0.082054192   |
| 161217:1645 | 03/22/11 19:42:07 | 717  | HLT_QuadJet40_IsoPFTau40_v1 | 3.494521450    | 3.455752056   |
| 161222:1645 | 03/23/11 00:34:26 | 97   | HLT_QuadJet40_IsoPFTau40_v1 | 0.400164994    | 0.394855668   |
| 161223:1645 | 03/23/11 01:27:26 | 375  | HLT_QuadJet40_IsoPFTau40_v1 | 1.416643528    | 1.402999386   |
| 161233:1646 | 03/23/11 07:22:15 | 1    | HLT_QuadJet40_IsoPFTau40_v1 | 0.005466832    | 0.003083430   |
| 161310:1647 | 03/23/11 20:22:31 | 78   | HLT_QuadJet40_IsoPFTau40_v1 | 0.445705487    | 0.434204508   |
| 161311:1647 | 03/23/11 20:57:36 | 645  | HLT_QuadJet40_IsoPFTau40_v1 | 3.087492528    | 3.064441710   |
| 161312:1647 | 03/24/11 01:31:20 | 1019 | HLT_QuadJet40_IsoPFTau40_v1 | 3.598539325    | 3.582659954   |
| 162762:1711 | 04/15/11 07:19:43 | 102  | HLT_QuadJet40_IsoPFTau40_v1 | 0.379652666    | 0.372603177   |
| 162765:1711 | 04/15/11 08:03:08 | 10   | HLT_QuadJet40_IsoPFTau40_v1 | 0.036686025    | 0.033437737   |
| 162803:1712 | 04/15/11 11:52:07 | 80   | HLT_QuadJet40_IsoPFTau40_v1 | 0.440190172    | 0.425755631   |
| 162808:1712 | 04/15/11 12:26:59 | 51   | HLT_QuadJet40_IsoPFTau40_v1 | 0.272944884    | 0.263457267   |
| 162811:1712 | 04/15/11 13:07:29 | 338  | HLT_QuadJet40_IsoPFTau40_v1 | 1.683455438    | 1.656811131   |
| 162822:1713 | 04/15/11 20:21:55 | 235  | HLT_QuadJet40_IsoPFTau40_v1 | 1.221604196    | 1.200944607   |
| 162825:1713 | 04/15/11 22:11:26 | 184  | HLT_QuadJet40_IsoPFTau40_v1 | 0.880634776    | 0.862749571   |
| 162826:1713 | 04/15/11 23:30:09 | 24   | HLT_QuadJet40_IsoPFTau40_v1 | 0.108685775    | 0.102591308   |
| 162828:1713 | 04/16/11 00:43:27 | 82   | HLT_QuadJet40_IsoPFTau40_v1 | 0.362039198    | 0.355913343   |
| 162909:1716 | 04/16/11 13:41:11 | 229  | HLT_QuadJet40_IsoPFTau40_v1 | 1.829977683    | 1.804035580   |
| 163046:1721 | 04/18/11 18:52:46 | 229  | HLT_QuadJet40_IsoPFTau40_v1 | 1.628784205    | 1.605623035   |
| 163069:1722 | 04/19/11 01:31:50 | 546  | HLT_QuadJet40_IsoPFTau40_v1 | 3.948425133    | 3.901561016   |
| 163071:1722 | 04/19/11 05:21:19 | 161  | HLT_QuadJet40_IsoPFTau40_v1 | 1.060520940    | 1.044441193   |
| 163078:1722 | 04/19/11 06:58:21 | 23   | HLT_QuadJet40_IsoPFTau40_v1 | 0.144727935    | 0.136474311   |
| 163232:1727 | 04/20/11 20:00:59 | 40   | HLT_QuadJet40_IsoPFTau40_v1 | 0.276605011    | 0.268236018   |
| 163233:1727 | 04/20/11 20:26:33 | 283  | HLT_QuadJet40_IsoPFTau40_v1 | 1.843935522    | 1.816517849   |
| 163234:1727 | 04/20/11 22:24:17 | 66   | HLT_QuadJet40_IsoPFTau40_v1 | 0.405144108    | 0.394274004   |
| 163235:1727 | 04/20/11 22:53:05 | 461  | HLT_QuadJet40_IsoPFTau40_v1 | 2.633249618    | 2.603616416   |
| 163237:1727 | 04/21/11 02:11:59 | 213  | HLT_QuadJet40_IsoPFTau40_v1 | 1.113695796    | 1.099167758   |
| 163238:1727 | 04/21/11 03:40:46 | 5    | HLT_QuadJet40_IsoPFTau40_v1 | 0.024950225    | 0.024712910   |
| 163252:1728 | 04/21/11 07:38:16 | 78   | HLT_QuadJet40_IsoPFTau40_v1 | 0.706449369    | 0.679520622   |
| 163255:1728 | 04/21/11 08:20:59 | 922  | HLT_QuadJet40_IsoPFTau40_v1 | 7.014472709    | 6.924043494   |
| 163261:1728 | 04/21/11 15:15:53 | 120  | HLT_QuadJet40_IsoPFTau40_v1 | 0.787173385    | 0.774711263   |
| 163270:1729 | 04/21/11 20:58:57 | 898  | HLT_QuadJet40_IsoPFTau40_v3 | 8.174363618    | 8.064554180   |
| 163286:1730 | 04/22/11 07:39:20 | 288  | HLT_QuadJet40_IsoPFTau40_v3 | 1.867972457    | 1.846775321   |
| 163289:1730 | 04/22/11 09:39:29 | 383  | HLT_QuadJet40_IsoPFTau40_v3 | 2.240234201    | 2.203805383   |
| 163296:1731 | 04/22/11 15:16:52 | 526  | HLT_QuadJet40_IsoPFTau40_v3 | 5.225680846    | 5.155444151   |
| 163297:1731 | 04/22/11 18:48:43 | 219  | HLT_QuadJet40_IsoPFTau40_v3 | 1.960407616    | 1.929081667   |
