OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0388675
0, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0388675
0, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0164903
0, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0164903
0, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0177018
0, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0177018
0, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0275803
0, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0275803
0, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
0, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) + 0.0172903
0, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))) - 0.0172903
0, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x)))
