OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0739582
2, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0739582
2, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.032176
2, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.032176
2, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0300046
2, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0300046
2, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0358518
2, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0358518
2, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0340862
2, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0340862
2, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0337338
2, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0337338
2, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0365749
2, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0365749
2, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0386804
2, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0386804
2, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0321592
2, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0321592
2, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0390914
2, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0390914
2, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0392905
2, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0392905
2, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0441242
2, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0441242
2, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x)))
2, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) + 0.0486327
2, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.791591*((1.+(0.03541*x))/(1.+(0.0292402*x))) - 0.0486327
