#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                      | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------------------------------+----------------+---------------+
| 170722:1960 | 07/20/11 00:44:17 | 174  | HLT_QuadJet40_IsoPFTau40_v11 | 5.306498840    | 5.240415982   |
| 170759:1961 | 07/20/11 08:52:42 | 316  | HLT_QuadJet40_IsoPFTau40_v11 | 10.304061006   | 9.996983987   |
| 170826:1962 | 07/20/11 18:33:41 | 239  | HLT_QuadJet40_IsoPFTau40_v11 | 7.161337323    | 7.056088468   |
| 170842:1962 | 07/20/11 20:24:02 | 322  | HLT_QuadJet40_IsoPFTau40_v11 | 8.337119058    | 8.199240618   |
| 170854:1962 | 07/20/11 22:40:53 | 565  | HLT_QuadJet40_IsoPFTau40_v11 | 12.457017071   | 12.239597408  |
| 170876:1962 | 07/21/11 03:00:45 | 507  | HLT_QuadJet40_IsoPFTau40_v11 | 9.210086463    | 9.078809995   |
| 170896:1962 | 07/21/11 06:34:26 | 212  | HLT_QuadJet40_IsoPFTau40_v11 | 3.481797968    | 3.420842921   |
| 170899:1962 | 07/21/11 07:59:35 | 84   | HLT_QuadJet40_IsoPFTau40_v11 | 1.325749061    | 1.309156793   |
| 170901:1962 | 07/21/11 08:40:00 | 187  | HLT_QuadJet40_IsoPFTau40_v11 | 2.856679915    | 2.814544544   |
| 166784:1862 | 06/09/11 15:45:50 | 357  | HLT_QuadJet40_IsoPFTau40_v7  | 7.099287841    | 6.769093262   |
| 166787:1862 | 06/09/11 18:31:47 | 352  | HLT_QuadJet40_IsoPFTau40_v7  | 6.387579128    | 6.298035938   |
| 166839:1863 | 06/10/11 23:46:01 | 255  | HLT_QuadJet40_IsoPFTau40_v7  | 6.311766056    | 5.515325623   |
| 166841:1863 | 06/11/11 01:35:27 | 991  | HLT_QuadJet40_IsoPFTau40_v7  | 21.163164335   | 20.866165841  |
| 166842:1863 | 06/11/11 08:13:23 | 164  | HLT_QuadJet40_IsoPFTau40_v7  | 3.048347710    | 2.996231227   |
| 166859:1864 | 06/11/11 20:34:19 | 350  | HLT_QuadJet40_IsoPFTau40_v7  | 9.131977236    | 8.983096506   |
| 166860:1864 | 06/11/11 23:03:07 | 20   | HLT_QuadJet40_IsoPFTau40_v7  | 0.486960288    | 0.420547731   |
| 166861:1864 | 06/11/11 23:17:47 | 11   | HLT_QuadJet40_IsoPFTau40_v7  | 0.267409915    | 0.193503116   |
| 166864:1864 | 06/11/11 23:49:43 | 494  | HLT_QuadJet40_IsoPFTau40_v7  | 10.888357131   | 10.103840174  |
